Date,NSE_NO_OF_CONT,NSE_NO_OF_TRADE,NSE_NOTION_VAL,NSE_PR_VAL,BSE_TTL_TRADED_QTY,BSE_TTL_TRADED_VAL,BSE_AVG_TRADED_PRICE,BSE_NO_OF_TRADES,NSE_CAT_RETAIL_BUY_CR,NSE_CAT_RETAIL_SELL_CR,NSE_CAT_RETAIL_AVG_CR,NSE_EQ_RETAIL_BUY_CR,NSE_EQ_RETAIL_SELL_CR,NSE_EQ_RETAIL_AVG_CR,MRG_OUTSTANDING_BOD_LAKHS,MRG_FRESH_EXP_LAKHS,MRG_EXP_LIQ_LAKHS,MRG_NET_EOD_LAKHS
03-02-2025,64417836.00,30354297.00,103785890466240.44,425382404997.95,1004837680.00,77641372173.93,30339145.0292,15967305.00,47457.32,45307.44,46382.38,35476.62,33394.55,34435.59,7828247.65,438320.27,456261.05,7810306.87
04-02-2025,82149429.00,38732475.00,134770743216322.23,526779169199.75,4510455180.00,352095299244.87,37236920.6237,57379712.00,52763.04,58307.82,55535.43,35405.79,36175.71,35790.75,7810193.73,451494.46,467155.92,7794532.28
05-02-2025,92536727.00,37612533.00,155055765541874.16,431435652384.15,96103700.00,7569281049.65,28018579.2360,2109004.00,47078.34,45060.97,46069.65,35948.80,35143.30,35546.05,7794461.59,497483.18,466093.39,7825851.38
06-02-2025,201798615.00,60242646.00,349453003173425.69,439903213175.65,119330000.00,9360530184.09,29354781.7416,2526558.00,46071.31,40289.70,43180.50,34169.04,31999.71,33084.38,7825735.05,474592.96,395484.13,7904843.88
07-02-2025,69101496.00,34333344.00,112003452190760.59,497393891540.60,614084580.00,47990191164.91,30982892.6258,10888271.00,56018.72,55908.77,55963.74,33729.80,33030.17,33379.99,7820949.53,410491.08,421521.50,7809919.12
10-02-2025,59962887.00,28284442.00,97793537099018.41,365056065675.90,916299190.00,71169270541.81,32872690.0396,13978722.00,39122.09,36072.58,37597.33,28094.21,26618.42,27356.31,6766211.78,353972.74,344537.84,6775646.68
11-02-2025,84177308.00,37003441.00,137170932346144.25,437286304596.75,5588339830.00,428807244529.35,39663677.3345,60890995.00,45658.14,43757.75,44707.94,30196.26,29704.37,29950.31,7890125.07,382965.65,449509.70,7823581.02
12-02-2025,160335395.00,66816234.00,265093215764544.53,723394530544.55,245697940.00,18708733529.04,28208696.1439,5323764.00,63877.70,64855.21,64366.46,36273.50,37206.19,36739.85,7823545.70,371286.07,513757.20,7681074.57
13-02-2025,264241554.00,86579577.00,449187982699227.44,617970832967.45,202628790.00,15527712938.17,25801273.5026,4453110.00,49947.34,51641.08,50794.21,29729.50,29114.19,29421.85,7681004.60,365014.36,400685.52,7645333.45
14-02-2025,83199547.00,42907409.00,131615721440618.28,584672367700.80,725677320.00,55239015225.53,28812926.0581,13244441.00,54362.18,54040.54,54201.36,31853.47,30775.02,31314.25,7645301.23,371338.92,475270.52,7541369.64
17-02-2025,79308496.00,40088613.00,125567315374668.56,518070112538.55,1097228780.00,83377030273.54,33198880.7651,18926150.00,45360.64,45641.29,45500.96,28452.66,30156.13,29304.40,7541273.01,338706.37,472420.44,7407558.95
18-02-2025,72296005.00,35065346.00,114521613091769.75,419989429067.25,4888978280.00,371359461992.90,35518707.8612,54897956.00,39117.92,39345.60,39231.76,27693.69,28187.22,27940.46,7407494.20,336414.19,439253.57,7304654.83
19-02-2025,120088480.00,50657549.00,195377720039931.69,534567841936.70,163851520.00,12490995420.39,28701059.7402,3606328.00,49811.09,49013.54,49412.32,30974.81,31167.73,31071.27,7304618.75,368109.42,376591.22,7296136.95
20-02-2025,194486764.00,61071079.00,323872590606715.12,415378575232.66,136699400.00,10402216541.99,28706071.9035,2758748.00,42057.21,41330.62,41693.92,29766.03,29872.99,29819.51,7296122.58,388561.32,421280.24,7263403.66
21-02-2025,73278227.00,36628856.00,110748441847507.23,437644233199.75,448560280.00,33770777596.23,32759011.3568,7709527.00,54180.83,53607.86,53894.35,32968.07,30929.59,31948.83,7263314.70,417108.21,384870.94,7295551.97
25-02-2025,78963023.00,33742145.00,121021393820209.30,288460740914.30,4031137810.00,294869808617.48,41314422.4850,39720054.00,51022.76,51909.11,51465.93,25834.17,24962.77,25398.47,7282848.06,356391.30,346096.60,7293142.75
27-02-2025,232047003.00,70623401.00,358034172877077.88,388056953667.80,98972900.00,7410439033.99,23328554.7828,2036003.00,76948.84,81731.44,79340.14,29610.43,29016.20,29313.32,7293120.29,378628.02,406712.11,7265036.20
28-02-2025,68951052.00,33082776.00,108038536530610.70,480054974193.20,664234410.00,49065550038.47,27075865.9424,10733875.00,51138.25,48439.39,49788.82,35406.13,35348.68,35377.40,7265023.42,393825.14,526186.26,7132662.29
03-03-2025,76070097.00,35869977.00,119575124922570.84,461384793963.35,1437696290.00,105454549665.07,30487460.3289,20826926.00,46726.45,47785.28,47255.87,31889.26,34770.15,33329.71,7132660.42,371027.44,571757.69,6931930.17
04-03-2025,62247807.00,28387865.00,97470124409190.30,342830864567.80,5014230440.00,366016007360.82,33784506.8630,48058645.00,35842.01,36043.64,35942.82,30905.77,31665.39,31285.58,6931894.54,380296.43,435906.30,6876284.67
05-03-2025,122311429.00,48541868.00,196695631348036.16,536748587418.65,216280850.00,15992149924.50,25713274.0572,4374877.00,51093.46,51729.34,51411.40,34572.24,35316.99,34944.61,6876284.34,436192.11,468434.34,6844042.11
06-03-2025,290455643.00,87297600.00,481289355630958.38,650601965953.35,313896240.00,23227188578.35,28565259.7879,6105758.00,53118.20,55105.11,54111.65,34354.28,33452.49,33903.38,6844042.11,458110.77,436488.38,6865664.50
07-03-2025,71984413.00,34929195.00,114644419845339.30,469708631166.80,764594620.00,56888164248.21,28477215.1691,12602314.00,45877.50,45197.48,45537.49,33505.20,32446.47,32975.83,6865664.50,444415.70,414423.73,6895656.47
11-03-2025,79924478.00,38392911.00,126359042405323.25,418462848878.25,5441132410.00,402890456051.66,38822300.1802,50176837.00,41861.67,42329.96,42095.82,30184.27,31206.55,30695.41,6925823.81,384848.69,409058.90,6901613.60
12-03-2025,139879329.00,57403182.00,227152495933926.88,543261041831.85,250646510.00,18599937881.63,27878546.9570,5124194.00,48411.66,47615.24,48013.45,31421.51,30732.92,31077.21,6901614.45,408899.18,404848.96,6905664.67
13-03-2025,258881082.00,79024176.00,429494675664025.00,499685251797.46,285384490.00,21163898503.12,28753989.2674,5279936.00,39037.28,38820.11,38928.69,27288.23,26812.84,27050.53,6905664.67,376917.10,375236.41,6907345.36
17-03-2025,71644045.00,33039634.00,113108084646094.20,384544947746.70,1300434330.00,96478776628.64,31976725.7835,17561888.00,37060.98,38404.09,37732.54,26073.81,27620.81,26847.31,6907344.63,376272.16,412188.70,6871428.10
18-03-2025,83957566.00,36924299.00,132954037673226.56,411748937694.05,5589446690.00,419138951173.24,40290397.8922,55406588.00,44659.85,50233.08,47446.46,31354.05,35369.59,33361.82,6871428.10,423464.78,514379.52,6780513.36
19-03-2025,113660469.00,47654398.00,182627115030096.00,493555075996.00,169102260.00,12757786954.48,27377981.1057,3550135.00,51326.75,54136.01,52731.38,41011.78,41538.38,41275.08,6773917.46,540227.36,539667.66,6774477.17
20-03-2025,267093253.00,83393313.00,448227559303547.88,593091766397.85,254634610.00,19326270953.29,29550778.1331,4898009.00,57282.43,62426.29,59854.36,40366.10,40235.88,40300.99,6767352.63,551757.97,505729.44,6813381.17
24-03-2025,108954524.00,51979032.00,173074554915766.84,595603336801.85,1359053590.00,105020992040.23,40526487.4951,19424517.00,72773.68,74026.40,73400.04,43782.61,44992.40,44387.51,6792036.68,633098.36,607594.08,6817540.96
25-03-2025,106083272.00,52505477.00,170688777937686.31,559769564766.30,,,,,71348.02,70454.21,70901.12,39670.57,39363.44,39517.01,6817540.96,590281.88,528932.79,6878890.05
26-03-2025,160622834.00,68508449.00,263415972220376.69,653184395574.20,,,,,70957.40,68959.26,69958.33,34546.27,35281.55,34913.91,6878563.46,481225.24,484267.70,6875521.00
27-03-2025,329275938.00,104328293.00,543088304442391.81,571684925101.85,195322700.00,15207066031.10,31347966.7101,4133300.00,72590.97,72541.07,72566.02,38097.81,42557.73,40327.77,6875518.21,494183.78,564595.70,6805106.29
28-03-2025,71926961.00,35843419.00,119555684073323.84,514959219476.35,1143936310.00,88733365340.32,37692259.2036,17494913.00,55586.34,50855.85,53221.09,40654.98,41610.24,41132.61,6804396.23,556982.98,554426.32,6806952.88
01-04-2025,80954683.00,37577163.00,135066775007375.34,448019456722.85,5519209610.00,422297370363.94,47129818.2444,58218051.00,53969.59,50691.22,52330.41,31183.96,28090.33,29637.15,6806781.86,463937.69,366466.02,6904253.53
02-04-2025,112522899.00,45589927.00,189816076189520.09,497977218162.60,212940980.00,16328609522.55,33297763.1433,4368585.00,45240.41,47790.48,46515.45,29326.71,30106.12,29716.42,6904363.46,388223.85,442287.14,6850300.17
03-04-2025,218317875.00,62030285.00,372804516963162.75,445911661717.75,237338610.00,18121028469.13,34705262.9135,4200157.00,46312.72,42500.75,44406.74,38328.44,35036.61,36682.53,6850300.17,530051.31,489534.51,6890816.98
04-04-2025,81814112.00,40020285.00,131316034167405.00,534856430492.50,787663070.00,59657868247.91,35498045.1531,12588710.00,56823.10,53019.21,54921.15,40298.48,32334.44,36316.46,6890816.98,552543.13,454142.53,6989217.58
07-04-2025,91628792.00,52210207.00,143890698738250.91,1052441155415.90,1135762120.00,83579324106.22,39552221.3596,23340140.00,68911.42,72786.33,70848.88,34824.52,36549.75,35687.13,6989205.02,399038.34,587828.67,6800414.69
09-04-2025,222851273.00,69966832.00,368377302339070.62,567902297075.60,192705220.00,14262559255.23,33490328.1212,4011830.00,45758.75,43519.57,44639.16,27410.38,25164.91,26287.65,6763947.57,450417.22,372085.84,6842278.96
11-04-2025,62141770.00,36103888.00,97597343445722.66,578882056720.15,764861700.00,57464777005.12,40327131.3315,14869495.00,50749.32,52687.47,51718.40,30692.26,31709.21,31200.74,6841968.42,422485.15,483563.11,6780890.45
15-04-2025,60674916.00,29003359.00,95196104315632.56,353809630465.05,4080647100.00,312582125595.62,47551553.2428,38651395.00,41339.26,44550.55,42944.90,33677.81,37251.25,35464.53,6780890.45,497669.41,549011.63,6729548.23
16-04-2025,120499315.00,50277659.00,199511019745492.31,533478483497.30,197895200.00,15208534426.22,34905403.3320,4250095.00,54666.20,55001.35,54833.77,35906.65,36075.77,35991.21,6729544.03,528689.46,468285.92,6789947.57
17-04-2025,318773267.00,107222831.00,550468259384594.56,865613738489.55,345017620.00,26788335962.30,39143169.2341,7484515.00,74835.70,81098.11,77966.90,37076.71,39353.42,38215.07,6789934.60,513928.67,527034.82,6776828.45
22-04-2025,83342911.00,42832773.00,134586583146575.73,445259361345.75,5103817000.00,406175441749.73,55436114.8730,49901982.00,66354.65,66069.28,66211.96,42367.58,41452.55,41910.07,6764481.22,637421.80,542455.19,6859447.82
23-04-2025,160423984.00,73005091.00,270517936114062.12,674021226769.70,166685760.00,13369452056.23,35344498.8408,3954156.00,85538.72,86763.48,86151.10,44170.42,46749.89,45460.15,6859447.82,605509.56,609165.09,6855792.30
24-04-2025,281453059.00,89899801.00,482942262490568.88,501202390159.05,145021870.00,11649705796.22,38091101.1960,3142037.00,73720.85,73421.91,73571.38,40823.48,40459.94,40641.71,6855790.62,598487.71,504784.53,6949493.80
25-04-2025,85740450.00,46129601.00,146969766075157.81,744633716540.30,815594400.00,64681319610.98,48295345.1255,16448794.00,77171.89,77585.30,77378.60,42587.98,45202.23,43895.11,6949493.80,559458.06,541075.64,6967876.22
28-04-2025,77993457.00,38878841.00,134858535570853.44,524815128138.45,,,,,51858.85,55800.18,53829.52,33123.57,38487.44,35805.51,6967859.15,450956.76,538667.69,6880148.23
29-04-2025,82422428.00,36957005.00,143920777997329.91,427274172279.90,5631475250.00,445539414739.56,59270020.8800,57327283.00,47606.17,45974.91,46790.54,40483.79,41996.25,41240.02,6880148.21,538342.23,527237.99,6891252.45
30-04-2025,235278575.00,66616026.00,422550246547230.38,496542739630.35,155195520.00,12501834644.84,33097269.2550,3450035.00,46351.94,47719.21,47035.57,37522.89,38381.40,37952.15,6891251.35,503424.35,477055.38,6917620.32
02-05-2025,81068181.00,45191874.00,140959224351286.12,696805459581.15,897606000.00,72421419847.11,45656759.4259,18179293.00,66822.46,66176.01,66499.24,37277.07,38471.95,37874.51,6917270.28,464959.61,483816.17,6898413.72
05-05-2025,69372546.00,35007314.00,119815293045752.59,466375356992.60,1116767990.00,90170771863.99,49824129.4940,19582192.00,46826.66,47415.60,47121.13,36114.18,38911.89,37513.04,6898410.65,473027.01,507762.40,6863675.26
06-05-2025,63548640.00,29980739.00,108438273656294.69,357414948819.70,4941232100.00,398258699072.09,49787837.0001,43483885.00,43127.00,43553.73,43340.37,36622.28,36533.25,36577.76,6863667.57,529085.63,468127.62,6924625.58
07-05-2025,120516845.00,52612958.00,212172312756070.69,575534196765.70,176718190.00,14209225502.36,37223623.8502,4142314.00,55911.73,56063.06,55987.40,36619.48,41191.57,38905.53,6924620.78,446036.60,499823.82,6870833.57
09-05-2025,58826224.00,35137413.00,97767873699156.70,634572314221.70,565350260.00,44828589311.14,46787302.8745,12441188.00,60287.47,56487.40,58387.43,34631.71,37997.78,36314.74,6915093.06,413684.63,478354.70,6850422.98
12-05-2025,83447387.00,44445770.00,143180478519609.38,663015242546.85,1385892410.00,113506466596.37,50589913.3526,23173146.00,70111.36,72535.03,71323.19,43391.68,45809.08,44600.38,6850422.89,597021.81,608681.06,6838763.64
13-05-2025,87322001.00,46495531.00,153408008146479.56,671411781627.05,6273121800.00,511728779241.06,58616054.2657,80027424.00,70542.86,57303.51,63923.18,44797.79,43254.21,44026.00,6838648.87,662427.28,570092.11,6930984.04
14-05-2025,133882637.00,58881207.00,238075804711936.38,678790127563.45,217973410.00,17911534901.48,40837548.8073,5324369.00,60670.22,61686.36,61178.29,50583.12,50484.32,50533.72,6930973.98,687480.94,648698.10,6969756.82
15-05-2025,337367205.00,120838348.00,617552430510978.12,1041909404306.55,358956450.00,29395703681.91,44280807.7315,8451318.00,78644.09,84827.30,81735.69,49670.05,51156.77,50413.41,6969722.22,705449.59,678235.26,6996936.54
16-05-2025,55388180.00,30763056.00,92588227813073.44,474572699431.85,519124420.00,42753437700.59,45183431.2484,10368836.00,53332.36,49355.42,51343.89,64094.23,64439.34,64266.79,6996723.31,849687.45,766969.53,7079441.23
19-05-2025,58364393.00,30999646.00,97996324660481.16,451492727754.45,,,,,49532.60,47666.64,48599.62,54783.99,51876.39,53330.19,7078773.55,829349.95,659389.37,7248734.13
20-05-2025,77290022.00,38007157.00,132913948213517.64,485216277161.35,6231485680.00,508847694069.60,60035692.9676,61052895.00,56485.98,50428.43,53457.21,47975.76,43647.90,45811.83,7248733.78,741501.56,547569.46,7442665.88
21-05-2025,135416248.00,61343375.00,240952055048148.88,743701540106.30,244887350.00,20152980705.25,43917847.9793,5897882.00,65952.25,68903.78,67428.01,41801.81,43018.26,42410.04,7442661.25,582176.10,568682.71,7456154.64
22-05-2025,305256313.00,98898071.00,552387450252266.88,705859675377.25,236199180.00,19212300684.16,42351871.4863,5601993.00,64777.90,57682.26,61230.08,44591.75,42234.25,43413.00,7456153.35,626181.01,516944.50,7565389.86
23-05-2025,68397548.00,37196971.00,115004631066078.50,552019977340.65,624393740.00,51102295765.51,45432349.3495,12472259.00,59925.63,62961.71,61443.67,43281.30,45128.78,44205.04,7565389.67,596164.49,592592.17,7568961.99
26-05-2025,66183479.00,35867070.00,110793462313373.81,511667574777.30,1049656670.00,86037390899.24,53200119.8756,19942227.00,62288.08,62315.90,62301.99,42059.13,42292.62,42175.88,7568960.78,648591.64,627808.26,7589744.15
27-05-2025,85576253.00,46558623.00,147043155090234.62,657153951170.25,5979607150.00,485157031247.76,61081797.5998,79225563.00,80107.63,74465.49,77286.56,43890.12,41395.17,42642.65,7588929.73,695452.09,549276.00,7735105.81
28-05-2025,106021173.00,48821724.00,183613644719238.00,545477494775.25,130033260.00,10664093162.63,38921633.7211,3117021.00,68444.51,64071.56,66258.03,45089.04,43979.14,44534.09,7735911.12,661051.52,568839.84,7828122.81
29-05-2025,312675818.00,109943458.00,556058537620347.62,650338013963.10,194538010.00,15964654667.57,41916342.9550,4738240.00,82318.14,82160.85,82239.49,42617.27,43517.78,43067.52,7828122.14,643050.19,606383.60,7864788.74
30-05-2025,44557329.00,24258932.00,76942662517422.50,411060127726.75,505183440.00,41354381994.86,47796194.4728,9896376.00,48741.84,44889.48,46815.66,51224.09,50777.74,51000.91,7864788.21,726970.19,683047.44,7908710.97
02-06-2025,59054880.00,30195324.00,103671542101440.41,508379002976.10,1238157850.00,100978455655.34,54921104.2900,22377414.00,49251.10,48004.81,48627.96,44814.66,44894.83,44854.75,7905627.19,681309.76,620643.52,7966293.43
03-06-2025,70203370.00,35379566.00,124742568748945.84,518966477271.25,5429519980.00,440500443601.02,61082869.1730,66257610.00,51358.49,45566.53,48462.51,46110.67,42739.62,44425.15,7966275.64,722350.94,586831.58,8101795.01
04-06-2025,79501343.00,31426645.00,141714805683313.19,366358766572.65,131101250.00,10730228827.67,39930212.8683,2988298.00,36896.15,37107.45,37001.80,45239.42,46177.02,45708.22,8101794.76,646022.81,634536.75,8113280.81
05-06-2025,285386611.00,90295796.00,524104268913838.69,688707437436.15,257559810.00,21081080214.05,45786013.5453,5886157.00,55881.98,57813.73,56847.85,48339.77,49617.39,48978.58,8111940.94,740935.02,731155.06,8121720.90
06-06-2025,69856455.00,35829285.00,121310442888219.70,559243131203.10,748390430.00,61515209896.29,48386152.7222,13904382.00,65883.15,71103.67,68493.41,52265.73,55019.36,53642.54,8121695.79,1021670.37,1055384.17,8087981.99
09-06-2025,45355010.00,22397511.00,76601775703363.25,322780127393.25,797135630.00,65769117744.40,52260622.0458,12153255.00,43097.68,42890.77,42994.22,52164.08,50817.98,51491.03,8088860.01,805024.89,797590.03,8096294.87
10-06-2025,53934654.00,24441914.00,92902429704756.25,293708004259.80,5136014180.00,423346053428.13,56125090.9993,48650949.00,40495.80,38683.11,39589.46,48186.29,47756.37,47971.33,8096294.63,823808.19,730252.21,8189850.61
11-06-2025,104095682.00,41011845.00,186787681478288.56,450531639057.65,177960190.00,14781781584.14,40637997.8985,3914066.00,48770.39,49469.36,49119.88,55957.46,50351.62,53154.54,8189850.52,821895.82,727675.26,8284071.09
12-06-2025,307710619.00,92894387.00,568231001335749.12,683356562524.21,282599220.00,23287947701.67,41804514.9991,6362852.00,64084.53,58678.84,61381.68,45786.75,42041.74,43914.24,8284071.09,754051.52,605536.63,8432585.98
13-06-2025,58067417.00,31292160.00,98459569562933.31,454866513859.60,633437270.00,51424528234.06,43059643.0185,11900813.00,47523.70,46130.39,46827.04,40602.61,40638.79,40620.70,8432572.40,568983.89,606000.38,8395555.91
16-06-2025,67958275.00,33593920.00,117086101017143.05,431327926483.95,1184632710.00,96787058126.40,50599974.2623,19214419.00,46136.37,49517.54,47826.96,36383.93,37563.41,36973.67,8395551.10,562361.73,602989.08,8354923.75
17-06-2025,61016840.00,28452295.00,104805365419885.84,321085358731.10,5575984740.00,455064937115.27,55473796.2660,53251258.00,38358.08,35895.79,37126.94,38070.34,36908.16,37489.25,8354887.42,632106.16,584144.18,8402849.41
